------------------------------------------------------------------------------------
导出信息：
姓名：梁栋
支付宝账户：17615017903
起始时间：[2024-01-01 00:00:00]    终止时间：[2024-10-31 23:59:59]
导出交易类型：[全部]
导出时间：[2024-11-07 12:44:08]
共582笔记录
收入：18笔 7963.27元
支出：362笔 25352.70元
不计收支：202笔 25441.32元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2024-10-31 22:57:29,母婴亲子,阿伦**站,miz***@aliyun.com,澳洲a2奶粉3段三段婴儿新生儿儿童铂金白金装配方新西兰900G保税,不计收支,632.76,,交易关闭,2024103122001172631428513165	,T200P2351343036401652554	,,
2024-10-31 19:53:28,日用百货,拼多多国际,pdd***@pinduoduo.com,商户单号XP1524103119201683982618003818,不计收支,114.00,支付宝小荷包(梁栋的小荷包),交易成功,2024103122001372631425157503	,XP1524103119201683982618003818	,,
2024-10-31 11:58:43,餐饮美食,遇膳访定食屋,156******15,收钱码收款,支出,23.00,余额宝,交易成功,2024103122001472631424459434	,17303471237612733972639	,,
2024-10-31 07:06:05,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241031-00180704(001),支出,14.00,余额宝,交易成功,2024103123001472631425609122	,08980605202711027221664552845404	,,
2024-10-30 22:14:23,日用百货,拼多多国际,pdd***@pinduoduo.com,商户单号XP2324103022201633371699003902,支出,560.00,工商银行储蓄卡(1845),交易成功,2024103022001372631418120207	,XP2324103022201633371699003902	,,
2024-10-30 22:02:53,退款,HongKong Walnut Street Limited,/,退款-商户单号XP1924103021200386589248006360,不计收支,569.00,工商银行储蓄卡(1845),退款成功,2024103022001372631418319755*RM0024103022200537394508006360	,RM0024103022200537394508006360	,,
2024-10-30 22:01:51,日用百货,拼多多国际,pdd***@pinduoduo.com,商户单号XP1924103022200388502663003571,不计收支,554.00,支付宝小荷包(梁栋的小荷包),交易成功,2024103022001372631418069490	,XP1924103022200388502663003571	,,
2024-10-30 21:58:15,日用百货,拼多多国际,pdd***@pinduoduo.com,商户单号XP1924103021200386589248006360,支出,569.00,工商银行储蓄卡(1845),交易成功,2024103022001372631418319755	,XP1924103021200386589248006360	,,
2024-10-30 21:56:35,日用百货,拼多多国际,pdd***@pinduoduo.com,商户单号XP1624103021201634752310004929,支出,569.00,工商银行储蓄卡(1845),交易成功,2024103022001372631418085049	,XP1624103021201634752310004929	,,
2024-10-30 07:07:39,餐饮美食,口碑,gdc***@service.aliyun.com,【爆款】库迪咖啡全场饮品任选券,支出,7.50,余额宝,交易成功,2024103022001172631417903764	,13070600724103015566541389135	,,
2024-10-30 07:06:14,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241030-00150705(001),支出,12.00,余额宝,交易成功,2024103023001472631419042237	,08980605202711026496964302291011	,,
2024-10-30 03:36:18,投资理财,建信基金管理有限公司,/,余额宝-2024.10.29-收益发放,不计收支,0.01,余额宝,交易成功,20241030367184776631	,	,,
2024-10-29 20:26:09,日用百货,拼多多平台商户,pdd***@yiran.com,商户单号XP2324102920201564589586004077,支出,19.41,余额宝,交易成功,2024102922001472631411050955	,XP2324102920201564589586004077	,,
2024-10-29 20:21:04,日用百货,拼多多国际,pdd***@pinduoduo.com,商户单号XP1824102920200321856808004394,支出,595.00,余额宝,交易成功,2024102922001372631411519166	,XP1824102920200321856808004394	,,
2024-10-29 12:22:17,生活服务,小微商户李延,/,小微商户李延,支出,5.00,余额宝,交易成功,2024102922001472631412755025	,19201703200630449239340100000118392410291222172421	,,
2024-10-29 12:03:59,餐饮美食,海大炸鸡咖喱饭,hzh***@gmail.com,收钱码收款,支出,18.00,余额宝,交易成功,2024102922001472631410538420	,17301746383612733972639	,,
2024-10-29 11:55:31,母婴亲子,天猫**营,tmg***@service.aliyun.com,【自营】a2奶粉三段紫白金婴幼儿奶粉1岁以上宝宝乳粉900g*6罐,不计收支,1368.11,,交易关闭,2024102922001172631412707540	,T2700P2346812400785652554	,,
2024-10-29 11:55:26,母婴亲子,天猫**营,tmg***@service.aliyun.com,【自营】a2奶粉三段紫白金婴幼儿奶粉1岁以上宝宝乳粉900g*6罐,不计收支,1314.24,,交易关闭,2024102922001172631412589267	,T2700P2346797463380652554	,,
2024-10-29 07:08:08,餐饮美食,大连腾飞软件园餐厅,yhm***@acasia.com.cn,百乐汇厨房-扫码付-YY0015001501-241029-00190706(001),支出,12.50,余额宝,交易成功,2024102923001472631410502421	,08980605202711025773150501208068	,,
2024-10-29 06:41:39,餐饮美食,口碑,gdc***@service.aliyun.com,【爆款】库迪咖啡全场饮品任选券,支出,7.50,余额宝,交易成功,2024102922001172631410847338	,13060600724102916127326389135	,,
2024-10-29 03:32:35,投资理财,建信基金管理有限公司,/,余额宝-2024.10.28-收益发放,不计收支,0.03,余额宝,交易成功,20241029360590289631	,	,,
